-100,1220
550,1290
-100,1290
-50,1543
-135,1470
-100,1540
750,1220
1700,1290
950,1170
1300,1220
1200,1120
1300,1170
1650,1170
1900,1220
1850,650
1900,1170
1800,250
1850,770
1500,250
1800,320
1500,-400
1550,250
1450,-450
1500,-280
1100,-450
1450,-380
150,-400
1150,-330
-350,-350
200,-280
-400,-320
-350,-180
-400,70
-299,320
-450,200
-400,920
-500,800
-450,980
-500,1150
-450,1300
-450,1220
-400,1500
-400,1420
-350,1500
-350,1420
-300,1550
-300,1470
-270,1550
-100,423
200,870
200,747
600,820
200,423
250,593
250,470
400,593
600,750
650,870
650,797
1200,870
857,470
1200,800
400,470
860,543
950,323
1150,470
400,117
650,270
1500,867
1750,1020
1150,370
1200,470
-400,20
-350,70
