406,376
739,563
1173,138
1421,471
1321,461
1998,561
1334,-99
1378,152
1114,-182
1342,-41
1114,-48
1149,-2
1187,-54
1222,-2
1279,-42
1315,-2
149,-179
962,-42
927,-47
962,-2
855,-50
888,-2
112,660
636,946
107,-73
751,122
760,-48
797,-2
112,109
146,314
-387,277
146,314
-401,264
-371,463
-376,448
134,667
141,117
182,159
253,117
288,160
360,117
394,160
465,115
502,160
570,109
608,160
677,108
714,159
1814,706
2000,726
1814,713
1859,836
1478,818
1868,845
1478,818
1524,968
812,925
1524,974
812,925
845,1104
-351,1073
856,1111
-349,873
-324,1105
-335,903
119,946
1999,461
2083,726
